Community,hour,avg_per_hour
AL SAFA SECOND,4,0.01904761904761905
AL SAFA SECOND,5,0.02857142857142857
AL SAFA SECOND,6,0.009523809523809525
AL SAFA SECOND,7,0.01904761904761905
AL SAFA SECOND,8,0.09523809523809523
AL SAFA SECOND,9,0.0761904761904762
AL SAFA SECOND,10,0.08571428571428572
AL SAFA SECOND,11,0.08571428571428572
AL SAFA SECOND,12,0.0761904761904762
AL SAFA SECOND,13,0.11428571428571428
AL SAFA SECOND,14,0.1619047619047619
AL SAFA SECOND,15,0.14285714285714285
AL SAFA SECOND,16,0.09523809523809523
AL SAFA SECOND,17,0.11428571428571428
AL SAFA SECOND,18,0.0761904761904762
AL SAFA SECOND,19,0.08571428571428572
AL SAFA SECOND,20,0.06666666666666667
AL SAFA SECOND,21,0.05714285714285714
AL SAFA SECOND,22,0.05714285714285714
AL SAFA SECOND,23,0.0380952380952381
AL SAFOUH FIRST,0,0.05517241379310345
AL SAFOUH FIRST,1,0.041379310344827586
AL SAFOUH FIRST,2,0.006896551724137931
AL SAFOUH FIRST,3,0.027586206896551724
AL SAFOUH FIRST,4,0.013793103448275862
AL SAFOUH FIRST,5,0.006896551724137931
AL SAFOUH FIRST,6,0.041379310344827586
AL SAFOUH FIRST,7,0.06206896551724138
AL SAFOUH FIRST,8,0.06206896551724138
AL SAFOUH FIRST,9,0.0896551724137931
AL SAFOUH FIRST,10,0.08275862068965517
AL SAFOUH FIRST,11,0.06206896551724138
AL SAFOUH FIRST,12,0.1103448275862069
AL SAFOUH FIRST,13,0.1310344827586207
AL SAFOUH FIRST,14,0.1103448275862069
AL SAFOUH FIRST,15,0.1103448275862069
AL SAFOUH FIRST,16,0.11724137931034483
AL SAFOUH FIRST,17,0.12413793103448276
AL SAFOUH FIRST,18,0.10344827586206896
AL SAFOUH FIRST,19,0.13793103448275862
AL SAFOUH FIRST,20,0.09655172413793103
AL SAFOUH FIRST,21,0.0896551724137931
AL SAFOUH FIRST,22,0.08275862068965517
AL SAFOUH FIRST,23,0.08275862068965517
AL SAFOUH SECOND,0,0.05847953216374269
AL SAFOUH SECOND,1,0.08187134502923976
AL SAFOUH SECOND,2,0.03508771929824561
AL SAFOUH SECOND,3,0.023391812865497075
AL SAFOUH SECOND,4,0.005847953216374269
AL SAFOUH SECOND,5,0.029239766081871343
AL SAFOUH SECOND,6,0.029239766081871343
AL SAFOUH SECOND,7,0.05263157894736842
AL SAFOUH SECOND,8,0.1111111111111111
AL SAFOUH SECOND,9,0.18128654970760233
AL SAFOUH SECOND,10,0.21637426900584794
AL SAFOUH SECOND,11,0.1871345029239766
AL SAFOUH SECOND,12,0.18128654970760233
AL SAFOUH SECOND,13,0.19298245614035087
AL SAFOUH SECOND,14,0.1286549707602339
AL SAFOUH SECOND,15,0.15204678362573099
AL SAFOUH SECOND,16,0.11695906432748537
AL SAFOUH SECOND,17,0.1286549707602339
AL SAFOUH SECOND,18,0.1286549707602339
AL SAFOUH SECOND,19,0.0935672514619883
AL SAFOUH SECOND,20,0.0935672514619883
AL SAFOUH SECOND,21,0.11695906432748537
AL SAFOUH SECOND,22,0.08771929824561403
AL SAFOUH SECOND,23,0.04678362573099415
AL SATWA,0,0.16216216216216217
AL SATWA,1,0.08648648648648649
AL SATWA,2,0.07567567567567568
AL SATWA,3,0.04864864864864865
AL SATWA,4,0.032432432432432434
AL SATWA,5,0.04864864864864865
AL SATWA,6,0.12432432432432433
AL SATWA,7,0.05945945945945946
AL SATWA,8,0.14054054054054055
AL SATWA,9,0.11891891891891893
