Community,week_index,week_start,Accident_Count
AL BARSHA SECOND,10,2024-05-08,0
AL BARSHA SECOND,11,2024-05-15,0
AL BARSHA SECOND,12,2024-05-22,0
AL BARSHA SECOND,13,2024-05-29,0
AL BARSHA SECOND,14,2024-06-05,2
AL BARSHA SECOND,15,2024-06-12,8
AL BARSHA SECOND,16,2024-06-19,19
AL BARSHA SECOND,17,2024-06-26,12
AL BARSHA SECOND,18,2024-07-03,7
AL BARSHA SECOND,19,2024-07-10,14
AL BARSHA SECOND,20,2024-07-17,16
AL BARSHA SECOND,21,2024-07-24,11
AL BARSHA SECOND,22,2024-07-31,4
AL BARSHA SECOND,23,2024-08-07,11
AL BARSHA SECOND,24,2024-08-14,14
AL BARSHA SECOND,25,2024-08-21,16
AL BARSHA SECOND,26,2024-08-28,19
AL BARSHA SECOND,27,2024-09-04,2
AL BARSHA SECOND,28,2024-09-11,11
AL BARSHA SECOND,29,2024-09-18,12
AL BARSHA SECOND,30,2024-09-25,2
AL BARSHA SOUTH FIFTH,1,2024-03-06,13
AL BARSHA SOUTH FIFTH,2,2024-03-13,7
AL BARSHA SOUTH FIFTH,3,2024-03-20,4
AL BARSHA SOUTH FIFTH,4,2024-03-27,6
AL BARSHA SOUTH FIFTH,5,2024-04-03,10
AL BARSHA SOUTH FIFTH,6,2024-04-10,9
AL BARSHA SOUTH FIFTH,7,2024-04-17,0
AL BARSHA SOUTH FIFTH,8,2024-04-24,0
AL BARSHA SOUTH FIFTH,9,2024-05-01,0
AL BARSHA SOUTH FIFTH,10,2024-05-08,0
AL BARSHA SOUTH FIFTH,11,2024-05-15,0
AL BARSHA SOUTH FIFTH,12,2024-05-22,0
AL BARSHA SOUTH FIFTH,13,2024-05-29,0
AL BARSHA SOUTH FIFTH,14,2024-06-05,6
AL BARSHA SOUTH FIFTH,15,2024-06-12,9
AL BARSHA SOUTH FIFTH,16,2024-06-19,10
AL BARSHA SOUTH FIFTH,17,2024-06-26,15
AL BARSHA SOUTH FIFTH,18,2024-07-03,11
AL BARSHA SOUTH FIFTH,19,2024-07-10,10
AL BARSHA SOUTH FIFTH,20,2024-07-17,18
AL BARSHA SOUTH FIFTH,21,2024-07-24,11
AL BARSHA SOUTH FIFTH,22,2024-07-31,11
AL BARSHA SOUTH FIFTH,23,2024-08-07,16
AL BARSHA SOUTH FIFTH,24,2024-08-14,8
AL BARSHA SOUTH FIFTH,25,2024-08-21,15
AL BARSHA SOUTH FIFTH,26,2024-08-28,17
AL BARSHA SOUTH FIFTH,27,2024-09-04,1
AL BARSHA SOUTH FIFTH,28,2024-09-11,7
AL BARSHA SOUTH FIFTH,29,2024-09-18,10
AL BARSHA SOUTH FIFTH,30,2024-09-25,1
AL BARSHA SOUTH FIRST,1,2024-03-06,22
